Individual,Block,Strain,Replicate,Cell,Environment,Sex,Focal haplotype,Social haplotype,Mortality,Social Survival,Development time (hrs),Wing size (mm),Day emerged,Hours from lights on,Female offspring,Male offspring,Total female assay,Male red 1,Female red 1,Total red vial 1,Male bw 1,Female bw 1,Total bw vial 1,Proportion red vial 1,Male red 2,Female red 2,Total red vial 2,Male bw 2,Female bw 2,Total bw vial 2,Proportion red vial 2,Total red all vials,Total bw all vials,Proportion red all vials
1206,4,Barcelona 2,25,3,7,M,Barcelona,Dahomey,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1207,4,Israel 2,25,4,7,F,Israel,Barcelona,N,L,247,NA,10,9,13,13,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1208,4,Barcelona 2,25,4,7,M,Barcelona,Israel,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1209,4,Sweden 2,25,5,7,F,Sweden,Barcelona,N,P,NA,0.904,NA,NA,16,16,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1210,4,Barcelona 2,25,5,7,M,Barcelona,Sweden,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1211,4,Barcelona 2,25,6,7,F,Barcelona,Brownsville,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1212,4,Brownsville 2,25,6,7,M,Brownsville,Barcelona,N,L,NA,0.9,NA,NA,NA,NA,NA,0,0,0,35,32,67,0,0,0,0,9,6,15,0,0,82,0
1213,4,Brownsville 2,25,7,7,F,Brownsville,Brownsville,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,4,Brownsville 2,25,7,7,M,Brownsville,Brownsville,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1215,4,Dahomey 2,25,8,7,F,Dahomey,Brownsville,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1216,4,Brownsville 2,25,8,7,M,Brownsville,Dahomey,N,P,269,0.896,11,7,NA,NA,NA,0,0,0,29,32,61,0,0,0,0,9,14,23,0,0,84,0
1217,4,Israel 2,25,9,7,F,Israel,Brownsville,N,N,274,,11,12,27,23,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1218,4,Brownsville 2,25,9,7,M,Brownsville,Israel,N,N,265,0.931,11,3,NA,NA,NA,0,0,0,13,25,38,0,0,0,0,13,10,23,0,0,61,0
1219,4,Sweden 2,25,10,7,F,Sweden,Brownsville,N,P,NA,1.073,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1220,4,Brownsville 2,25,10,7,M,Brownsville,Sweden,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1221,4,Barcelona 2,25,11,7,F,Barcelona,Dahomey,N,L,252,1.014,10,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1222,4,Dahomey 2,25,11,7,M,Dahomey,Barcelona,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1223,4,Brownsville 2,25,12,7,F,Brownsville,Dahomey,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1224,4,Dahomey 2,25,12,7,M,Dahomey,Brownsville,N,L,246,1.004,10,8,NA,NA,NA,0,0,0,28,35,63,0,0,0,0,14,12,26,0,0,89,0
1225,4,Dahomey 2,25,13,7,F,Dahomey,Dahomey,P,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1226,4,Dahomey 2,25,13,7,M,Dahomey,Dahomey,N,P,244,1.037,10,6,NA,NA,NA,37,51,88,3,1,4,0.956521739,6,10,16,10,17,27,0.372093023,104,31,0.77037037
1227,4,Israel 2,25,14,7,F,Israel,Dahomey,N,L,246,1.06,10,8,23,15,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1228,4,Dahomey 2,25,14,7,M,Dahomey,Israel,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1229,4,Sweden 2,25,15,7,F,Sweden,Dahomey,N,L,269,1.042,11,7,29,29,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1230,4,Dahomey 2,25,15,7,M,Dahomey,Sweden,L,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1231,4,Barcelona 2,25,16,7,F,Barcelona,Israel,N,N,247,,10,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1232,4,Israel 2,25,16,7,M,Israel,Barcelona,N,N,244,1.007,10,6,NA,NA,NA,0,0,0,19,27,46,0,0,0,0,16,6,22,0,0,68,0
1233,4,Brownsville 2,25,17,7,F,Brownsville,Israel,N,P,245,1.045,10,7,20,25,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1234,4,Israel 2,25,17,7,M,Israel,Brownsville,P,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1235,4,Dahomey 2,25,18,7,F,Dahomey,Israel,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1236,4,Israel 2,25,18,7,M,Israel,Dahomey,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1237,4,Israel 2,25,19,7,F,Israel,Israel,P,P,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1238,4,Israel 2,25,19,7,M,Israel,Israel,P,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1239,4,Sweden 2,25,20,7,F,Sweden,Israel,L,L,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1240,4,Israel 2,25,20,7,M,Israel,Sweden,L,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0
1241,4,Barcelona 2,25,21,7,F,Barcelona,Sweden,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1242,4,Sweden 2,25,21,7,M,Sweden,Barcelona,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1243,4,Brownsville 2,25,22,7,F,Brownsville,Sweden,L,N,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1244,4,Sweden 2,25,22,7,M,Sweden,Brownsville,N,L,245,1.08,10,7,NA,NA,NA,41,53,94,0,0,0,1,27,28,55,0,0,0,1,149,0,1
